,Positive,Negative,Predicted Positive,Predicted Negative
0,True,False,True,False
1,True,False,False,True
2,True,False,True,False
3,False,True,False,True
4,True,False,True,False
5,False,True,False,True
6,False,True,True,False
7,True,False,False,True
8,True,False,True,False
9,True,False,True,False
10,True,False,False,True
11,True,False,True,False
12,True,False,True,False
13,True,False,True,False
14,False,True,False,True
15,False,True,False,True
16,True,False,False,True
17,True,False,False,True
18,False,True,False,True
19,True,False,False,True
20,True,False,False,True
21,True,False,True,False
22,True,False,False,True
23,True,False,False,True
24,False,True,True,False
25,True,False,False,True
26,True,False,True,False
27,True,False,False,True
28,False,True,True,False
29,False,True,False,True
30,True,False,False,True
31,True,False,True,False
32,False,True,True,False
33,False,True,False,True
34,True,False,False,True
35,False,True,False,True
36,True,False,False,True
37,True,False,False,True
38,False,True,True,False
39,True,False,False,True
40,False,True,False,True
41,False,True,False,True
42,False,True,True,False
43,True,False,False,True
44,False,True,False,True
45,True,False,True,False
46,True,False,True,False
47,False,True,False,True
48,True,False,False,True
49,True,False,True,False
50,True,False,True,False
51,False,True,False,True
52,True,False,False,True
53,True,False,False,True
54,False,True,False,True
55,True,False,True,False
56,False,True,False,True
57,True,False,False,True
58,False,True,False,True
59,False,True,False,True
60,True,False,False,True
61,True,False,False,True
62,False,True,True,False
63,False,True,False,True
64,True,False,False,True
65,True,False,True,False
66,True,False,True,False
67,True,False,False,True
68,True,False,True,False
69,True,False,False,True
70,True,False,True,False
71,True,False,False,True
72,True,False,True,False
73,True,False,False,True
74,False,True,True,False
75,True,False,True,False
76,True,False,True,False
77,True,False,True,False
78,False,True,True,False
79,True,False,False,True
80,False,True,True,False
81,True,False,False,True
82,True,False,False,True
83,True,False,False,True
84,True,False,True,False
85,False,True,True,False
86,True,False,True,False
87,True,False,False,True
88,True,False,False,True
89,True,False,False,True
90,True,False,False,True
91,True,False,False,True
92,False,True,False,True
93,False,True,True,False
94,False,True,False,True
95,False,True,False,True
96,True,False,True,False
97,True,False,False,True
98,True,False,True,False
99,False,True,False,True
100,True,False,True,False
101,True,False,False,True
102,True,False,False,True
103,True,False,False,True
104,True,False,True,False
105,True,False,False,True
