,Positive,Negative,Predicted Positive,Predicted Negative
0,True,False,True,False
1,True,False,False,True
2,True,False,True,False
3,False,True,True,False
4,True,False,True,False
5,False,True,True,False
6,False,True,True,False
7,True,False,True,False
8,True,False,True,False
9,True,False,True,False
10,True,False,True,False
11,True,False,False,True
12,True,False,True,False
13,True,False,True,False
14,False,True,True,False
15,False,True,True,False
16,True,False,True,False
17,True,False,True,False
18,False,True,True,False
19,True,False,True,False
20,True,False,True,False
21,True,False,True,False
22,True,False,True,False
23,True,False,False,True
24,False,True,True,False
25,True,False,True,False
26,True,False,True,False
27,True,False,False,True
28,False,True,True,False
29,False,True,True,False
30,True,False,True,False
31,True,False,True,False
32,False,True,True,False
33,False,True,True,False
34,True,False,False,True
35,False,True,True,False
36,True,False,True,False
37,True,False,True,False
38,False,True,False,True
39,True,False,True,False
40,False,True,False,True
41,False,True,False,True
42,False,True,True,False
43,True,False,True,False
44,False,True,True,False
45,True,False,True,False
46,True,False,True,False
47,False,True,False,True
48,True,False,True,False
49,True,False,True,False
50,True,False,True,False
51,False,True,True,False
52,True,False,True,False
53,True,False,True,False
54,False,True,True,False
55,True,False,False,True
56,False,True,True,False
57,True,False,False,True
58,False,True,True,False
59,False,True,True,False
60,True,False,True,False
61,True,False,True,False
62,False,True,True,False
63,False,True,False,True
64,True,False,True,False
65,True,False,True,False
66,True,False,True,False
67,True,False,True,False
68,True,False,True,False
69,True,False,True,False
70,True,False,True,False
71,True,False,True,False
72,True,False,True,False
73,True,False,True,False
74,False,True,True,False
75,True,False,True,False
76,True,False,True,False
77,True,False,True,False
78,False,True,True,False
79,True,False,True,False
80,False,True,True,False
81,True,False,True,False
82,True,False,False,True
83,True,False,True,False
84,True,False,True,False
85,False,True,True,False
86,True,False,True,False
87,True,False,True,False
88,True,False,True,False
89,True,False,True,False
90,True,False,True,False
91,True,False,False,True
92,False,True,True,False
93,False,True,False,True
94,False,True,False,True
95,False,True,False,True
96,True,False,True,False
97,True,False,False,True
98,True,False,True,False
99,False,True,True,False
100,True,False,True,False
101,True,False,True,False
102,True,False,True,False
103,True,False,True,False
104,True,False,False,True
105,True,False,False,True
