,Positive,Negative,Predicted Positive,Predicted Negative
0,True,False,True,False
1,True,False,True,False
2,True,False,True,False
3,True,False,False,True
4,True,False,True,False
5,True,False,True,False
6,True,False,True,False
7,True,False,True,False
8,True,False,True,False
9,True,False,False,True
10,True,False,False,True
11,False,True,True,False
12,True,False,False,True
13,True,False,False,True
14,True,False,True,False
15,False,True,True,False
16,True,False,True,False
17,True,False,True,False
18,True,False,True,False
19,True,False,True,False
20,True,False,True,False
21,True,False,True,False
22,True,False,True,False
23,True,False,False,True
24,True,False,False,True
25,True,False,True,False
26,True,False,True,False
27,True,False,True,False
28,True,False,True,False
29,False,True,True,False
30,True,False,False,True
31,True,False,True,False
32,True,False,True,False
33,True,False,True,False
34,True,False,False,True
35,True,False,True,False
36,True,False,True,False
37,True,False,True,False
38,True,False,True,False
39,True,False,False,True
40,True,False,True,False
41,True,False,True,False
42,True,False,True,False
43,False,True,True,False
44,True,False,True,False
45,True,False,True,False
46,True,False,True,False
47,True,False,True,False
48,False,True,False,True
49,False,True,True,False
50,False,True,False,True
51,False,True,False,True
52,True,False,False,True
53,True,False,False,True
54,True,False,True,False
55,True,False,True,False
56,True,False,False,True
57,True,False,False,True
58,False,True,True,False
59,True,False,True,False
60,False,True,True,False
61,False,True,False,True
62,True,False,True,False
63,True,False,True,False
64,False,True,True,False
65,True,False,False,True
66,False,True,True,False
67,True,False,False,True
68,True,False,True,False
69,True,False,False,True
70,True,False,False,True
71,True,False,True,False
72,True,False,True,False
73,True,False,False,True
74,True,False,True,False
75,True,False,False,True
76,True,False,False,True
77,False,True,False,True
78,True,False,True,False
79,False,True,True,False
80,False,True,True,False
81,True,False,True,False
82,True,False,True,False
83,True,False,True,False
84,True,False,True,False
85,True,False,True,False
86,True,False,True,False
87,True,False,True,False
88,False,True,True,False
89,True,False,True,False
90,True,False,True,False
91,True,False,True,False
92,False,True,True,False
93,False,True,True,False
94,True,False,True,False
95,True,False,True,False
96,False,True,True,False
97,True,False,True,False
98,True,False,True,False
99,True,False,True,False
100,True,False,True,False
101,True,False,True,False
102,True,False,False,True
103,True,False,False,True
104,True,False,True,False
105,True,False,True,False
106,False,True,True,False
107,True,False,True,False
108,True,False,True,False
109,False,True,True,False
110,True,False,True,False
111,True,False,False,True
112,True,False,True,False
113,True,False,True,False
114,True,False,True,False
115,True,False,True,False
116,True,False,True,False
117,False,True,False,True
118,True,False,False,True
119,False,True,False,True
120,True,False,True,False
121,True,False,True,False
122,True,False,True,False
123,True,False,True,False
124,True,False,False,True
125,True,False,False,True
126,True,False,True,False
127,True,False,False,True
128,False,True,False,True
129,False,True,True,False
130,True,False,False,True
131,False,True,False,True
132,True,False,True,False
133,False,True,True,False
134,True,False,False,True
135,False,True,True,False
136,True,False,True,False
137,True,False,False,True
138,True,False,True,False
139,True,False,False,True
140,True,False,True,False
141,False,True,True,False
142,True,False,True,False
143,False,True,True,False
144,True,False,True,False
145,True,False,False,True
146,True,False,False,True
147,True,False,True,False
148,True,False,True,False
149,False,True,True,False
150,True,False,True,False
151,True,False,True,False
152,True,False,True,False
153,False,True,True,False
154,True,False,True,False
155,True,False,True,False
156,True,False,False,True
157,True,False,True,False
158,True,False,False,True
159,True,False,False,True
160,True,False,False,True
161,False,True,True,False
162,True,False,False,True
163,True,False,False,True
164,True,False,False,True
165,True,False,True,False
166,True,False,True,False
167,True,False,True,False
168,True,False,True,False
169,True,False,False,True
170,True,False,True,False
171,True,False,True,False
172,True,False,False,True
173,True,False,True,False
174,True,False,True,False
175,True,False,True,False
176,True,False,False,True
177,True,False,False,True
178,False,True,False,True
179,True,False,False,True
180,True,False,True,False
