,Positive,Negative,Predicted Positive,Predicted Negative
0,True,False,False,True
1,True,False,False,True
2,True,False,True,False
3,True,False,False,True
4,True,False,False,True
5,True,False,True,False
6,True,False,True,False
7,True,False,True,False
8,True,False,False,True
9,True,False,True,False
10,True,False,True,False
11,False,True,True,False
12,True,False,True,False
13,True,False,True,False
14,True,False,True,False
15,False,True,True,False
16,True,False,True,False
17,True,False,False,True
18,True,False,True,False
19,True,False,False,True
20,True,False,True,False
21,True,False,True,False
22,True,False,True,False
23,True,False,True,False
24,True,False,True,False
25,True,False,True,False
26,True,False,True,False
27,True,False,True,False
28,True,False,True,False
29,False,True,True,False
30,True,False,True,False
31,True,False,True,False
32,True,False,True,False
33,True,False,True,False
34,True,False,True,False
35,True,False,True,False
36,True,False,False,True
37,True,False,True,False
38,True,False,False,True
39,True,False,True,False
40,True,False,False,True
41,True,False,False,True
42,True,False,True,False
43,False,True,True,False
44,True,False,True,False
45,True,False,False,True
46,True,False,True,False
47,True,False,True,False
48,False,True,True,False
49,False,True,False,True
50,False,True,False,True
51,False,True,True,False
52,True,False,False,True
53,True,False,False,True
54,True,False,True,False
55,True,False,True,False
56,True,False,False,True
57,True,False,True,False
58,False,True,False,True
59,True,False,True,False
60,False,True,True,False
61,False,True,True,False
62,True,False,True,False
63,True,False,True,False
64,False,True,False,True
65,True,False,True,False
66,False,True,True,False
67,True,False,False,True
68,True,False,False,True
69,True,False,True,False
70,True,False,False,True
71,True,False,True,False
72,True,False,True,False
73,True,False,True,False
74,True,False,False,True
75,True,False,True,False
76,True,False,False,True
77,False,True,False,True
78,True,False,True,False
79,False,True,True,False
80,False,True,True,False
81,True,False,True,False
82,True,False,True,False
83,True,False,True,False
84,True,False,True,False
85,True,False,True,False
86,True,False,True,False
87,True,False,False,True
88,False,True,False,True
89,True,False,True,False
90,True,False,True,False
91,True,False,False,True
92,False,True,False,True
93,False,True,False,True
94,True,False,True,False
95,True,False,True,False
96,False,True,False,True
97,True,False,True,False
98,True,False,True,False
99,True,False,True,False
100,True,False,True,False
101,True,False,False,True
102,True,False,True,False
103,True,False,True,False
104,True,False,True,False
105,True,False,False,True
106,False,True,False,True
107,True,False,True,False
108,True,False,False,True
109,False,True,True,False
110,True,False,True,False
111,True,False,True,False
112,True,False,True,False
113,True,False,False,True
114,True,False,False,True
115,True,False,True,False
116,True,False,True,False
117,False,True,False,True
118,True,False,True,False
119,False,True,False,True
120,True,False,True,False
121,True,False,True,False
122,True,False,False,True
123,True,False,True,False
124,True,False,False,True
125,True,False,False,True
126,True,False,True,False
127,True,False,False,True
128,False,True,True,False
129,False,True,False,True
130,True,False,True,False
131,False,True,False,True
132,True,False,True,False
133,False,True,False,True
134,True,False,True,False
135,False,True,True,False
136,True,False,True,False
137,True,False,False,True
138,True,False,False,True
139,True,False,True,False
140,True,False,True,False
141,False,True,False,True
142,True,False,False,True
143,False,True,False,True
144,True,False,True,False
145,True,False,False,True
146,True,False,True,False
147,True,False,True,False
148,True,False,False,True
149,False,True,True,False
150,True,False,True,False
151,True,False,True,False
152,True,False,False,True
153,False,True,True,False
154,True,False,False,True
155,True,False,False,True
156,True,False,True,False
157,True,False,False,True
158,True,False,True,False
159,True,False,False,True
160,True,False,True,False
161,False,True,True,False
162,True,False,False,True
163,True,False,False,True
164,True,False,True,False
165,True,False,True,False
166,True,False,False,True
167,True,False,False,True
168,True,False,True,False
169,True,False,True,False
170,True,False,True,False
171,True,False,True,False
172,True,False,False,True
173,True,False,False,True
174,True,False,False,True
175,True,False,False,True
176,True,False,False,True
177,True,False,True,False
178,False,True,False,True
179,True,False,True,False
180,True,False,True,False
181,True,False,True,False
182,True,False,True,False
183,True,False,False,True
184,True,False,True,False
185,True,False,True,False
186,True,False,True,False
187,False,True,True,False
188,True,False,True,False
189,True,False,False,True
190,True,False,True,False
191,False,True,True,False
192,False,True,True,False
193,True,False,True,False
194,True,False,False,True
195,True,False,False,True
196,True,False,False,True
197,False,True,False,True
198,True,False,True,False
199,True,False,False,True
200,True,False,False,True
201,True,False,True,False
202,True,False,False,True
203,True,False,True,False
204,True,False,True,False
205,True,False,True,False
206,True,False,True,False
207,False,True,True,False
208,True,False,True,False
209,True,False,True,False
210,True,False,True,False
